scenario,m,a,run,model,delta_base,delta_eff,MAE,RMSE
"m=2,a=0.1",2,0.1,44,robust_d_big,1.5,3,0.583598591589077,0.699570076560322
"m=2,a=0.1",2,0.1,44,robust_d_auto,NaN,1.65672062890545,0.609123919352187,0.741302064811491
"m=2,a=0.1",2,0.1,45,classic,NaN,NaN,0.48445047235585,0.640274472001295
"m=2,a=0.1",2,0.1,45,robust_d_small,0.05,0.1,0.511781253799377,0.678577462031411
"m=2,a=0.1",2,0.1,45,robust_d_medium,0.35,0.7,0.509263139932127,0.673861762136329
"m=2,a=0.1",2,0.1,45,robust_d_big,1.5,3,0.779916255187162,0.933274572650247
"m=2,a=0.1",2,0.1,45,robust_d_auto,NaN,1.43523994198917,0.518997001381142,0.681060306741558
"m=2,a=0.1",2,0.1,46,classic,NaN,NaN,0.526861597969618,0.66565301985627
"m=2,a=0.1",2,0.1,46,robust_d_small,0.05,0.1,0.528860558714061,0.668746038268752
"m=2,a=0.1",2,0.1,46,robust_d_medium,0.35,0.7,0.536238760683445,0.668392387997153
"m=2,a=0.1",2,0.1,46,robust_d_big,1.5,3,0.53217863941075,0.664591276502745
"m=2,a=0.1",2,0.1,46,robust_d_auto,NaN,2.13818545670655,0.523550280260559,0.692726107793056
"m=2,a=0.1",2,0.1,47,classic,NaN,NaN,0.568458900040396,0.720312344636416
"m=2,a=0.1",2,0.1,47,robust_d_small,0.05,0.1,0.637775363313615,0.796586496939807
"m=2,a=0.1",2,0.1,47,robust_d_medium,0.35,0.7,0.643933753141645,0.80247538408573
"m=2,a=0.1",2,0.1,47,robust_d_big,1.5,3,0.6398473581037,0.798498319231422
"m=2,a=0.1",2,0.1,47,robust_d_auto,NaN,4.02078494817397,0.973850310878839,1.178977247424
"m=2,a=0.1",2,0.1,49,classic,NaN,NaN,0.639629339875946,0.809118332432319
"m=2,a=0.1",2,0.1,49,robust_d_small,0.05,0.1,0.677429943310731,0.842528916993993
"m=2,a=0.1",2,0.1,49,robust_d_medium,0.35,0.7,0.916085087195871,1.2086538856233
"m=2,a=0.1",2,0.1,49,robust_d_big,1.5,3,0.668216566050181,0.829196076304559
"m=2,a=0.1",2,0.1,49,robust_d_auto,NaN,1.75702122226503,0.668319643855965,0.83008344730315
"m=2,a=0.1",2,0.1,51,classic,NaN,NaN,0.599446119718108,0.731959092480813
"m=2,a=0.1",2,0.1,51,robust_d_small,0.05,0.1,0.586484988053573,0.745375349346934
"m=2,a=0.1",2,0.1,51,robust_d_medium,0.35,0.7,0.596504780179981,0.751471354041706
"m=2,a=0.1",2,0.1,51,robust_d_big,1.5,3,0.596412614530427,0.752304317442855
"m=2,a=0.1",2,0.1,51,robust_d_auto,NaN,1.75077151657149,0.63920654961557,0.771422913789977
"m=2,a=0.1",2,0.1,52,classic,NaN,NaN,0.554553712904153,0.708962600811881
"m=2,a=0.1",2,0.1,52,robust_d_small,0.05,0.1,0.60676498953387,0.746836150627178
"m=2,a=0.1",2,0.1,52,robust_d_medium,0.35,0.7,0.603928060847911,0.744336624307546
"m=2,a=0.1",2,0.1,52,robust_d_big,1.5,3,0.600731415223366,0.742247505714039
"m=2,a=0.1",2,0.1,52,robust_d_auto,NaN,1.66716869616703,0.598705763110235,0.739000599966467
"m=2,a=0.1",2,0.1,53,classic,NaN,NaN,0.500190730952993,0.64297294518004
"m=2,a=0.1",2,0.1,53,robust_d_small,0.05,0.1,0.589172275490398,0.725672896172846
"m=2,a=0.1",2,0.1,53,robust_d_medium,0.35,0.7,0.579042611233141,0.708726547723279
"m=2,a=0.1",2,0.1,53,robust_d_big,1.5,3,0.567918844303128,0.694512513390969
"m=2,a=0.1",2,0.1,53,robust_d_auto,NaN,4.40380787992658,1.113704062856,1.40467579106108
"m=2,a=0.1",2,0.1,54,classic,NaN,NaN,0.660907953283821,0.837135791009462
"m=2,a=0.1",2,0.1,54,robust_d_small,0.05,0.1,0.723066865533644,0.930787131930889
"m=2,a=0.1",2,0.1,54,robust_d_medium,0.35,0.7,0.741829612303711,0.926800061149493
"m=2,a=0.1",2,0.1,54,robust_d_big,1.5,3,0.781608619311177,0.977833639757059
"m=2,a=0.1",2,0.1,54,robust_d_auto,NaN,1.7110486959273,0.781642569617982,0.977889830320492
"m=2,a=0.1",2,0.1,55,classic,NaN,NaN,0.539536795920373,0.691869076544209
"m=2,a=0.1",2,0.1,55,robust_d_small,0.05,0.1,0.766707956173654,0.920850088538762
"m=2,a=0.1",2,0.1,55,robust_d_medium,0.35,0.7,0.770030223219168,0.927470826899784
"m=2,a=0.1",2,0.1,55,robust_d_big,1.5,3,0.783919029088477,0.953241188271383
"m=2,a=0.1",2,0.1,55,robust_d_auto,NaN,1.84897951837994,0.535955518632972,0.683756959937043
"m=2,a=0.1",2,0.1,57,classic,NaN,NaN,0.523861447105858,0.655954902946856
"m=2,a=0.1",2,0.1,57,robust_d_small,0.05,0.1,0.799195826914403,1.02819013343682
"m=2,a=0.1",2,0.1,57,robust_d_medium,0.35,0.7,0.801710672120903,1.02837128665182
"m=2,a=0.1",2,0.1,57,robust_d_big,1.5,3,0.808353640317129,1.05599353556797
"m=2,a=0.1",2,0.1,57,robust_d_auto,NaN,3.11330042479858,0.808354045185516,1.05599460166062
"m=2,a=0.1",2,0.1,58,classic,NaN,NaN,0.698589498327758,0.835409736348089
"m=2,a=0.1",2,0.1,58,robust_d_small,0.05,0.1,0.765125773121155,0.921198413590268
"m=2,a=0.1",2,0.1,58,robust_d_medium,0.35,0.7,0.755769968611594,0.910039881727729
"m=2,a=0.1",2,0.1,58,robust_d_big,1.5,3,0.739138882658544,0.891478489627365
"m=2,a=0.1",2,0.1,58,robust_d_auto,NaN,1.86111901534791,0.739138869354826,0.891478465886789
"m=2,a=0.1",2,0.1,59,classic,NaN,NaN,0.578609852388994,0.686573949490713
"m=2,a=0.1",2,0.1,59,robust_d_small,0.05,0.1,0.596536576205592,0.729551332416915
"m=2,a=0.1",2,0.1,59,robust_d_medium,0.35,0.7,0.603491793909538,0.738879818434552
"m=2,a=0.1",2,0.1,59,robust_d_big,1.5,3,0.602461963502476,0.737858979161067
"m=2,a=0.1",2,0.1,59,robust_d_auto,NaN,1.9119318951254,0.602461974058068,0.737858991690663
"m=2,a=0.1",2,0.1,61,classic,NaN,NaN,0.55572973803037,0.722332218956266
"m=2,a=0.1",2,0.1,61,robust_d_small,0.05,0.1,0.574710585106166,0.749375177691828
"m=2,a=0.1",2,0.1,61,robust_d_medium,0.35,0.7,0.570439795621091,0.743201632807459
"m=2,a=0.1",2,0.1,61,robust_d_big,1.5,3,0.964354058659858,1.17764601902556
"m=2,a=0.1",2,0.1,61,robust_d_auto,NaN,1.69024794262002,0.568752626315931,0.73933378848869
"m=2,a=0.1",2,0.1,62,classic,NaN,NaN,0.616022739398596,0.791447104403294
"m=2,a=0.1",2,0.1,62,robust_d_small,0.05,0.1,0.688831430833624,0.878438026834624
